huc8_digit,huc8_name,num_of_tiles,API_URL
01030001,Upper Kennebec River,0,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01030001&max=150
01030002,Dead River,0,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01030002&max=150
01030003,Lower Kennebec River,18,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01030003&max=150
01040001,Upper Androscoggin River,1,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01040001&max=150
01040002,Lower Androscoggin River,17,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01040002&max=150
01050001,Saint Croix River,3,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01050001&max=150
01050002,Maine Coastal,38,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01050002&max=150
01050003,St. George-Sheepscot,20,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01050003&max=150
01050004,Passamaquoddy Bay-Bay of Fundy,-999,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01050004&max=150
01060001,Presumpscot,21,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01060001&max=150
01060002,Saco River,7,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01060002&max=150
01060003,Piscataqua-Salmon Falls,22,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01060003&max=150
01070001,Pemigewasset River,0,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01070001&max=150
01070002,Winnipesaukee River,15,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01070002&max=150
01070003,Contoocook River,0,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01070003&max=150
01070004,Nashua River,3,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01070004&max=150
01070005,Concord River,7,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01070005&max=150
01070006,Merrimack River,-999,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01070006&max=150
01080101,Headwaters Connecticut River,9,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01080101&max=150
01080102,Passumpsic River,4,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01080102&max=150
01080103,Ammonoosuc River-Connecticut River,0,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01080103&max=150
01080104,Waits River-Connecticut River,4,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01080104&max=150
01080105,White River,2,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01080105&max=150
01080106,Black River-Connecticut River,2,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01080106&max=150
01080107,West River-Connecticut River,7,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01080107&max=150
01080201,Ashuelot River-Connecticut River,5,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01080201&max=150
01080202,Millers River,3,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01080202&max=150
01080203,Deerfield River,12,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01080203&max=150
01080204,Chicopee River,3,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01080204&max=150
01080205,Outlet Connecticut River,0,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01080205&max=150
01080206,Westfield River,4,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01080206&max=150
01080207,Farmington River,1,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01080207&max=150
01090001,Charles,17,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01090001&max=150
01090002,Cape Cod,19,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01090002&max=150
01090003,Blackstone River,12,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01090003&max=150
01090004,Narragansett,21,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01090004&max=150
01090006,Point Judith-Block Island,-999,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01090006&max=150
01100001,Quinebaug River,9,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01100001&max=150
01100002,Shetucket River,1,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01100002&max=150
01100003,Thames,2,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01100003&max=150
01100004,Quinnipiac,2,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01100004&max=150
01100005,Housatonic,9,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01100005&max=150
01100006,Saugatuck,8,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01100006&max=150
01100007,Pawcatuck River,7,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01100007&max=150
02020001,Upper Hudson,3,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02020001&max=150
02020002,Sacandaga,4,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02020002&max=150
02020003,Hudson-Hoosic,21,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02020003&max=150
02020004,Mohawk,6,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02020004&max=150
02020005,Schoharie,2,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02020005&max=150
02020006,Middle Hudson,9,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02020006&max=150
02020007,Rondout,9,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02020007&max=150
02020008,Hudson-Wappinger,4,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02020008&max=150
02030101,Lower Hudson,16,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02030101&max=150
02030102,Bronx,8,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02030102&max=150
02030103,Hackensack-Passaic,18,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02030103&max=150
02030104,Sandy Hook-Staten Island,16,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02030104&max=150
02030105,Raritan,31,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02030105&max=150
02030201,Northern Long Island,11,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02030201&max=150
02030202,Southern Long Island,8,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02030202&max=150
02030203,Long Island Sound,-999,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02030203&max=150
02040101,Upper Delaware,11,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02040101&max=150
02040102,East Branch Delaware,3,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02040102&max=150
02040103,Lackawaxen,19,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02040103&max=150
02040104,Middle Delaware-Mongaup-Brodhead,25,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02040104&max=150
02040105,Middle Delaware-Musconetcong,41,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02040105&max=150
02040106,Lehigh,41,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02040106&max=150
02040201,Crosswicks-Neshaminy,20,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02040201&max=150
02040202,Lower Delaware,41,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02040202&max=150
02040203,Schuylkill,51,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02040203&max=150
02040204,Delaware Bay,25,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02040204&max=150
02040205,Brandywine-Christina,32,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02040205&max=150
02040206,Cohansey-Maurice,31,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02040206&max=150
02040207,Broadkill-Smyrna,16,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02040207&max=150
02040301,Mullica-Toms,31,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02040301&max=150
02040302,Great Egg Harbor,24,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02040302&max=150
02040303,Chincoteague,-999,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02040303&max=150
02040304,Eastern Lower Delmarva,-999,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02040304&max=150
02050101,Upper Susquehanna,6,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02050101&max=150
02050102,Chenango,2,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02050102&max=150
02050103,Owego-Wappasening,8,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02050103&max=150
02050104,Tioga,15,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02050104&max=150
02050105,Chemung,9,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02050105&max=150
02050106,Upper Susquehanna-Tunkhannock,32,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02050106&max=150
02050107,Upper Susquehanna-Lackawanna,52,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02050107&max=150
02050201,Upper West Branch Susquehanna,21,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02050201&max=150
02050202,Sinnemahoning,12,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02050202&max=150
02050203,Middle West Branch Susquehanna,9,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02050203&max=150
02050204,Bald Eagle,19,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02050204&max=150
02050205,Pine,12,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02050205&max=150
02050206,Lower West Branch Susquehanna,45,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02050206&max=150
02050301,Lower Susquehanna-Penns,44,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02050301&max=150
02050302,Upper Juniata,24,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02050302&max=150
02050303,Raystown,20,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02050303&max=150
02050304,Lower Juniata,26,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02050304&max=150
02050305,Lower Susquehanna-Swatara,34,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02050305&max=150
02050306,Lower Susquehanna,51,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02050306&max=150
02060001,Upper Chesapeake Bay,67,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02060001&max=150
02060002,Chester-Sassafras,40,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02060002&max=150
02060003,Gunpowder-Patapsco,49,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02060003&max=150
02060004,Severn,28,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02060004&max=150
02060005,Choptank,28,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02060005&max=150
02060006,Patuxent,36,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02060006&max=150
02070001,South Branch Potomac,23,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02070001&max=150
02070002,North Branch Potomac,20,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02070002&max=150
02070003,Cacapon-Town,22,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02070003&max=150
02070004,Conococheague-Opequon,62,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02070004&max=150
02070005,South Fork Shenandoah,18,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02070005&max=150
02070006,North Fork Shenandoah,21,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02070006&max=150
02070007,Shenandoah,29,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02070007&max=150
02070008,Middle Potomac-Catoctin,54,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02070008&max=150
02070009,Monocacy,36,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02070009&max=150
02070010,Middle Potomac-Anacostia-Occoquan,32,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02070010&max=150
02070011,Lower Potomac,44,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02070011&max=150
02080101,Lower Chesapeake Bay,23,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02080101&max=150
02080102,Great Wicomico-Piankatank,20,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02080102&max=150
02080103,Rapidan-Upper Rappahannock,18,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02080103&max=150
02080104,Lower Rappahannock,28,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02080104&max=150
02080105,Mattaponi,24,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02080105&max=150
02080106,Pamunkey,21,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02080106&max=150
02080107,York,13,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02080107&max=150
02080108,Lynnhaven-Poquoson,5,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02080108&max=150
02080109,Nanticoke,13,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02080109&max=150
02080110,Tangier,9,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02080110&max=150
02080111,Pokomoke-Western Lower Delmarva,-999,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02080111&max=150
02080201,Upper James,14,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=02080201&max=150
